acuity	sight|modality|exteroception|sense|sensitivity|faculty|ability|cognition
acular	nonsteroidal_anti-inflammatory|anti-inflammatory|medicine|drug|agent|substance
aculea	process|body_part
aculeus	plant_process|process|body_part
acumen	plant_process|process|body_part
acupressure	treatment|care|work|activity|act|event
acupuncture	treatment|care|work|activity|act|event
acute	accent|diacritical_mark|mark|written_symbol|symbol|signal|communication
acuteness	sensitivity|sense|faculty|ability|cognition
acyclovir	medicine|drug|agent|substance
acylation	chemical_process|natural_process|process
acylglycerol	animal_oil|glyceryl_ester|animal_material|oil|ester|material|lipid|organic_compound|substance|macromolecule|compound|molecule|chemical
ada	enzyme|catalyst|protein|activator|macromolecule|substance|organic_compound|molecule|compound|chemical|material
adactylia	meromelia|birth_defect|anomaly|defect|abnormality|imperfection|physical_condition|state|condition
adactylism	meromelia|birth_defect|anomaly|defect|abnormality|imperfection|physical_condition|state|condition
adactyly	meromelia|birth_defect|anomaly|defect|abnormality|imperfection|physical_condition|state|condition
adage	saying|speech|auditory_communication|communication
adagio	passage|musical_composition|music|auditory_communication|communication
adalia	arthropod_genus|genus|taxonomic_group|biological_group
adamance	resoluteness|trait
adamant	transparent_gem|carbon|gem|chemical_element|crystal|substance|solid
adansonia	dilleniid_dicot_genus|dicot_genus|genus|taxonomic_group|biological_group
adapid	taxonomic_group|biological_group
adapin	tricyclic|antidepressant|medicine|drug|agent|substance
adaptability	ability|quality
adaptation	writing|written_communication|communication
adapter	device|instrumentality|artifact
adaption	organic_process|process
adaptor	device|instrumentality|artifact
adar	jewish_calendar_month|calendar_month|time_period|fundamental_quantity
add	syndrome|symptom|evidence|information|cognition
addax	antelope|bovid|ruminant|even-toed_ungulate|ungulate|placental|mammal|vertebrate
